Song,Artist,Category,Vendor,Mine,Year,sequence link,song image link
Disney It's Halloween,Disney,Halloween,Visionary Sequences,No,2026,https://visionarylightshows.com/products/halloween-horror-lights-2022-free-sequence,https://visionarylightshows.com/cdn/shop/products/Halloween-lo-ween_1024x1024@2x.webp?v=1661544726
Everyday is Halloween,LvCrft,Halloween,Visionary Sequences,No,2026,https://visionarylightshows.com/products/free-halloween-horror-lights-2024,
The Devil Went Down to Georgia,Nickelback,Halloween,Visionary Sequences,No,2026,https://visionarylightshows.com/cdn/shop/products/devilwentdowntogeorgianickelback_1024x1024@2x.jpg?v=1630156980,https://visionarylightshows.com/cdn/shop/products/devilwentdowntogeorgianickelback_1024x1024@2x.jpg?v=1630156980
It Must Be Halloween,LvCrft,Halloween,Pixel Sequence Pros,No,2025,https://pixelsequencepros.com/products/it-must-be-halloween-lvcrft,https://pixelsequencepros.com/cdn/shop/files/cover_01ebf3ff-cfc5-476d-a50a-e79e53972c59.jpg?v=1731728175&width=823
Uptown Funk,Mark Ronson ft Bruno Mars,Halloween,Pixel Pro Displays,No,2025,https://ezrgb.com/product/mark-ronson-ft-bruno-mars-uptown-funk-pixel-pro-displays,https://ezrgb.com/_next/image?url=https%3A%2F%2Fcms.ezrgb.com%2Fwp-content%2Fuploads%2F2025%2F01%2F51hS-R56Q3L._SL500_.jpg&w=1200&q=75
Running up that Hill (Remix),Kate Bush,Halloween,Lit Lights Sequences,No,2026,https://litlightsequences.com/products/running-up-that-hill-from-stranger-things-xlights-sequence,https://litlightsequences.com/cdn/shop/products/ScreenShot2022-07-18at4.19.28PM.png?v=1658179189
THX Intro,Pixar,Christmas,Lights of Elm Ridge,Yes,2022,,
Sounding Joy,Ellie Holcomb,Christmas,Pixel Pro Displays,No,2024,https://ezrgb.com/product/ellie-holcomb-sounding-joy-pixel-pro-displays,https://ezrgb.com/_next/image?url=https%3A%2F%2Fcms.ezrgb.com%2Fwp-content%2Fuploads%2F2024%2F10%2F61MFhz5MarL._SL500_-1.jpg&w=1200&q=75
Let it Go,Idinia Menzel,Christmas,Lights of Elm Ridge,Yes,2023,https://xlightsseq.com/sequences/let-it-go-frozen.1310/,
Wizards in Winter,TSO,Christmas,Lights of Elm Ridge,Yes,2023,,
Mary Did you Know,Pentatonix,Christmas,Lights of Elm Ridge,Yes,2024,https://xlightsseq.com/sequences/mary-did-you-know-pentatonix.1324/,
Cozy Little Christmas,Katy Perry,Christmas,Lights of Elm Ridge,Yes,2024,,
Christmas Lights,Cold Play,Christmas,Lights of Elm Ridge,Yes,2024,https://xlightsseq.com/sequences/christmas-lights-coldplay.1314/,
Gobble Gobble,Matthew West,Christmas,Showstopper Sequences,No,2024,https://showstoppersequences.com/Gobble-Gobble-Matthew-West_p_1308.html,
Merry Christmas,Elton John; Ed Sheeran,Christmas,Lights of Elm Ridge,Yes,2024,,
Over the River,Pentatonix ft Lindsey Stirling,Christmas,Unknown,No,2023,,
All I want for Christmas is You,Mariah Carey,Christmas,Xtreme Sequences,No,2024,,
Red Christmas,Kylie Cantrall,Christmas,Showstopper Sequences,No,2025,https://showstoppersequences.com/Red-Christmas-Kylie-Cantrall_p_1412.html,
Jingle Bells,Michael Buble,Christmas,redsmall,No,2025,https://xlightsseq.com/threads/jingle-bells-michael-buble-and-the-puppini-sisters.5748/,
Candy Cane Lane,Sia,Christmas,Lights of Elm Ridge,Yes,2025,https://xlightsseq.com/sequences/candy-cane-lane-by-sia.1482/,
Rockin' Around the Christmas Tree,Brenda Lee,Christmas,RGB Sequences,No,2025,https://rgb-sequences.com/products/brenda-lee-rockin-around-the-christmas-tree,https://rgb-sequences.com/cdn/shop/products/Album-Cover-Rockin-Around-The-Christmas-Tree_720x.jpg?v=1675015453
Up on the Housetop,Reba McIntyre,Christmas,Christmas Dave,No,2025,https://xlightsseq.com/sequences/up-on-the-housetop-reba-mcentire.1200/,
The Greatest Show Intro,The Greatest Showman Soundtrack,Christmas,Unknown,No,2025,,
I want a Hippopataumus for Christmas,Gayla Peevy,Christmas,Showstopper Sequences,No,2023,https://showstoppersequences.com/I-Want-a-Hippopotamus-for-Christmas-Gayla-Peevey_p_28.html,
Christmas Vacation,Mavis Staples,Christmas,Showstopper Sequences,No,2023,https://showstoppersequences.com/Christmas-Vacation-Mavis-Staples_p_18.html,
A Mad Russian Christmas,TSO,Christmas,Lights of Elm Ridge,Yes,2023,,
Snowman,Sia,Christmas,Lights of Elm Ridge,yes,2024,https://xlightsseq.com/sequences/snowman-by-sia.1510/,
Christmas Even in Sarajevo,TSO,Christmas,Lights of Elm Ridge,yes,2022,,
I don't Know What Christmas Is (But Christmas Time is Here),Old 97s,Christmas,Lights of Elm Ridge,yes,2024,,
"You're a Mean One, Mr Grinch","Lindsey Stirling, Feat Sabrina Carpenter",Christmas,Lights of Elm Ridge,yes,2023,,
Do a Little Good,Ryan Reynolds & Will Ferrell,Christmas,Lights of Elm Ridge,Yes,2023,,
It's the Most Wonderful Time of the Year,Andy Williams,Christmas,redsmall,No,2025,https://xlightsseq.com/sequences/its-the-most-wonderful-time-of-the-year-andy-williams.1429/,
You Make it Feel Like Christmas,Gwen Stefani feat Blake Shelton,Christmas,RGB Sequences,No,2025,https://rgb-sequences.com/products/gwen-stefani-you-make-it-feel-like-christmas-feat-blake-shelton,https://rgb-sequences.com/cdn/shop/products/Gwen-Stefani-You-Make-It-Feel-Like-Christmas-Album-Cover_720x.jpg?v=1675023330
Jingle Bells,"Kaskade, Soran",Christmas,Pixel Sequence Pros,No,2025,https://pixelsequencepros.com/products/jingle-bells-kaskade,https://pixelsequencepros.com/cdn/shop/files/cover_82d672b5-6641-482d-89d6-83c2401929a9.jpg?v=1767472156&width=823
Underneath the Tree,Kelly Clarkson,Christmas,RGB Sequences,No,2025,https://rgb-sequences.com/products/kelly-clarkson-underneath-the-tree,https://rgb-sequences.com/cdn/shop/products/51WC953qm-L._UX716_FMwebp_QL85_720x.webp?v=1677465309
Magic,"Lindsey Stirling, Feat Pentatonix",Christmas,Pixel Pro Displays,No,2025,https://ezrgb.com/product/lindsey-stirling-ft-david-archuleta-magic-pixel-pro-displays,https://ezrgb.com/_next/image?url=https%3A%2F%2Fcms.ezrgb.com%2Fwp-content%2Fuploads%2F2025%2F10%2F41jpeTsQG1L._UX716_FMwebp_QL85_-600x600-1.webp&w=1200&q=75
Frosty the Snowman,Jimmy Durante,Christmas,RGB Sequences,No,2025,https://rgb-sequences.com/products/jimmy-durante-frosty-the-snowman,https://rgb-sequences.com/cdn/shop/files/71s4fBTzynL._UXNaN_FMwebp_QL85_720x.png?v=1730686462
Blue Christmas,Elvis and Kane Brown,Christmas,RGB Sequences,No,2025,https://rgb-sequences.com/products/elvis-kane-brown-blue-christmas,https://rgb-sequences.com/cdn/shop/files/BlueChristmas_720x.png?v=1701451855
Fancy Like Christmas,Walker Hayes,Christmas,RGB Sequences,No,2025,https://rgb-sequences.com/products/walker-hayes-fancy-like-christmas,https://rgb-sequences.com/cdn/shop/files/FancyLikeChristmas_720x.png?v=1699931488
Winter Wonderland,Michael Buble,Christmas,RGB Sequences,No,2025,https://rgb-sequences.com/products/michael-buble-winter-wonderland,https://rgb-sequences.com/cdn/shop/products/Michael-Buble-Winter-Wonderland-Album-Cover_720x.jpg?v=1675018662
Rudolph the Red Nosed Reindeer,Burl Ives,Christmas,Showstopper Sequences,No,2025,https://showstoppersequences.com/Rudolph-the-Red-Nosed-Reindeer-Burl-Ives_p_1302.html,
